station,deploy_lat,deploy_long,depth_m
SR_01,44.7887,-62.5403,6.74
SR_02,44.7888,-62.5306,9.51
SR_03,44.7889,-62.5209,18.89
SR_04,44.789,-62.5125,18.69
SR_05,44.789,-62.5039,30.33
SR_06,44.7891,-62.4942,31.92
SR_07,44.7892,-62.4845,32.44
SR_08,44.7893,-62.4748,34.13
SR_09,44.7894,-62.4627,31.31
SR_10,44.7896,-62.4529,17.31
SR_11,44.793,-62.4477,12.78
SR_12,44.7998,-62.4474,18.65
SR_13,44.8066,-62.447,22.07
SR_14,44.8134,-62.4466,17.81
SR_15,44.8202,-62.4464,3.23
MR_01,44.9025407,-62.16719067,19.28
MR_02,44.89581902,-62.16385675,8.12
MR_03,44.88894288,-62.16049654,7.94
MR_04,44.8810235,-62.11734146,23.76
MR_05,44.87460383,-62.11271653,29.15
MR_06,44.86818499,-62.1080775,38.84
MR_07,44.86178618,-62.10346982,42.21
MR_08,44.85542951,-62.09887454,39.07
MR_09,44.84898615,-62.09411738,48.59
MR_10,44.84263372,-62.08953412,58.32
MR_11,44.83614126,-62.08481616,63.63
MR_12,44.82976988,-62.08020045,62.17
MR_13,44.82334641,-62.07549882,70.21
MR_14,44.81697857,-62.0709397,71.24
MR_15,44.81059157,-62.06627815,69.97
MR_16,44.80416605,-62.06152205,77.63
MR_17,44.79776872,-62.05685921,80.76
MR_18,44.79129788,-62.0522123,80.00
MR_19,44.78487435,-62.04750036,90.11
MR_20,44.77840464,-62.04283341,100.13
MR_21,44.7719917,-62.0381541,104.70
E_2_9,44.909895,-62.516992,14.00
FW_1,44.929988,-62.545749,2.00
ME_01,44.898125,-62.489105,14.00
ME_02,44.898941,-62.486861,8.00
ME_03,44.896402,-62.489204,24.00
ME_04,44.897735,-62.487196,4.00
ME_05,44.898274,-62.486154,1.00
ME_06,44.896961,-62.487007,2.50
ME_07,44.89714,-62.486465,1.00
ME_08,44.894278,-62.488564,12.00
ME_09,44.895455,-62.486761,23.00
ME_10,44.896833,-62.484531,1.00
ME_11,44.896101,-62.484471,8.00
ME_12,44.896107,-62.483547,1.00
ME_13,44.894391,-62.484481,13.00
ME_14,44.895261,-62.483587,7.00
ME_15,44.895381,-62.482626,1.50
ME_16,44.893636,-62.482412,10.00
ME_17,44.894388,-62.481498,6.00
ME_18,44.894626,-62.480334,1.50
ME_19,44.892526,-62.480069,7.00
ME_20,44.89376,-62.478121,1.00
SW1,44.868691,-62.495792,12.00
SW2,44.863664,-62.482459,15.00
SW3,44.85695,-62.505818,17.00
SW4,44.854602,-62.497469,22.00
SW5,44.852831,-62.487581,8.00
VPS_01,44.92417,-62.543015,3.00
VPS_02,44.922953,-62.543063,2.00
VPS_03,44.921957,-62.543578,1.00
VPS_04,44.922612,-62.541456,1.00
VPS_05,44.92364,-62.54044,4.00
VPS_06,44.920206,-62.542613,1.50
VPS_07,44.921129,-62.54203,2.50
VPS_08,44.921407,-62.540607,8.00
VPS_09,44.922368,-62.53851,4.00
VPS_10,44.919937,-62.540875,6.00
VPS_11,44.920811,-62.53835,5.00
VPS_12,44.921034,-62.5366,3.00
VPS_13,44.918668,-62.540972,1.50
VPS_14,44.919065,-62.539793,4.00
VPS_15,44.919821,-62.53736,4.50
VPS_16,44.917814,-62.538503,1.00
VPS_17,44.918534,-62.537969,7.00
VPS_18,44.917077,-62.537592,1.50
VPS_19,44.917761,-62.536572,6.00
VPS_20,44.918987,-62.535255,3.50
