"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"1","V2LNSSA-02A-2019-05-07","Sheet Harbour",6484,2019-05-09 00:41:31,2019-06-03 01:19:13,44.9202516530958,-62.5386218284875
"2","V2LNSSA-02A-2019-05-07","Sheet Harbour estuary",563,2019-05-23 04:05:00,2019-06-06 23:45:13,44.8958021924533,-62.4850195539726
"3","V2LNSSA-02A-2019-05-07","Sheet Harbour passage",31,2019-05-08 07:46:26,2019-06-07 03:13:59,44.8665695404,-62.4962837203505
"4","V2LNSSA-02A-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"5","V2LNSSA-02B-2019-05-07","Sheet Harbour",5315,2019-05-08 06:44:58,2019-06-01 22:06:06,44.9202516530958,-62.5386218284875
"6","V2LNSSA-02B-2019-05-07","Sheet Harbour estuary",3226,2019-05-18 02:27:57,2019-06-12 05:59:27,44.8958021924533,-62.4850195539726
"7","V2LNSSA-02B-2019-05-07","Sheet Harbour passage",65,2019-05-08 06:02:54,2019-06-12 17:43:17,44.8665695404,-62.4962837203505
"8","V2LNSSA-02B-2019-05-07","St. Anns Bank MPA",3,2019-06-19 01:37:15,2019-06-19 01:47:42,46.014734054054,-58.99753
"9","V2LNSSA-02B-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"10","V2LNSSA-02C-2019-05-07","Sheet Harbour",1036,2019-05-10 06:29:46,2019-05-13 10:48:13,44.9202516530958,-62.5386218284875
"11","V2LNSSA-02C-2019-05-07","Sheet Harbour passage",20,2019-05-10 05:22:21,2019-05-10 06:04:17,44.8665695404,-62.4962837203505
"12","V2LNSSA-02C-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"13","V2LNSSA-02D-2019-05-07","Sheet Harbour",500,2019-05-09 02:49:02,2019-06-09 01:32:22,44.9202516530958,-62.5386218284875
"14","V2LNSSA-02D-2019-05-07","Sheet Harbour estuary",2705,2019-05-21 06:46:05,2019-06-12 09:02:35,44.8958021924533,-62.4850195539726
"15","V2LNSSA-02D-2019-05-07","Sheet Harbour passage",70,2019-05-08 07:28:57,2019-06-02 21:49:37,44.8665695404,-62.4962837203505
"16","V2LNSSA-02D-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"17","V2LNSSA-03A-2019-05-07","Sheet Harbour",1794,2019-05-09 13:30:03,2019-06-03 23:41:23,44.9202516530958,-62.5386218284875
"18","V2LNSSA-03A-2019-05-07","Sheet Harbour estuary",1128,2019-06-02 02:14:19,2019-06-12 20:39:47,44.8958021924533,-62.4850195539726
"19","V2LNSSA-03A-2019-05-07","Sheet Harbour passage",84,2019-05-08 21:22:54,2019-06-13 12:39:22,44.8665695404,-62.4962837203505
"20","V2LNSSA-03A-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"21","V2LNSSA-03B-2019-05-07","Sheet Harbour",95,2019-05-10 00:45:00,2019-05-10 04:58:02,44.9202516530958,-62.5386218284875
"22","V2LNSSA-03B-2019-05-07","Sheet Harbour estuary",11,2019-05-10 23:30:04,2019-05-11 00:08:13,44.8958021924533,-62.4850195539726
"23","V2LNSSA-03B-2019-05-07","Sheet Harbour passage",27,2019-05-09 23:08:09,2019-05-11 08:52:54,44.8665695404,-62.4962837203505
"24","V2LNSSA-03B-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"25","V2LNSSA-04A-2019-05-07","Sheet Harbour",412,2019-05-10 02:16:37,2019-05-10 09:20:52,44.9202516530958,-62.5386218284875
"26","V2LNSSA-04A-2019-05-07","Sheet Harbour passage",35,2019-05-09 12:54:17,2019-05-10 01:10:40,44.8665695404,-62.4962837203505
"27","V2LNSSA-04A-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"28","V2LNSSA-04B-2019-05-07","Sheet Harbour",160,2019-05-09 00:15:41,2019-05-09 06:33:46,44.9202516530958,-62.5386218284875
"29","V2LNSSA-04B-2019-05-07","Sheet Harbour estuary",30,2019-05-09 08:50:05,2019-05-09 09:30:48,44.8958021924533,-62.4850195539726
"30","V2LNSSA-04B-2019-05-07","Sheet Harbour passage",70,2019-05-08 18:32:00,2019-06-08 05:28:46,44.8665695404,-62.4962837203505
"31","V2LNSSA-04B-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"32","V2LNSSA-04C-2019-05-07","Sheet Harbour",741,2019-05-09 00:09:17,2019-05-12 23:02:49,44.9202516530958,-62.5386218284875
"33","V2LNSSA-04C-2019-05-07","Sheet Harbour passage",5,2019-05-08 21:22:35,2019-05-08 21:30:45,44.8665695404,-62.4962837203505
"34","V2LNSSA-04C-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"35","V2LNSSA-04D-2019-05-07","Sheet Harbour",15,2019-05-09 01:31:05,2019-05-09 01:46:09,44.9202516530958,-62.5386218284875
"36","V2LNSSA-04D-2019-05-07","Sheet Harbour passage",19,2019-05-08 11:15:35,2019-05-08 11:51:35,44.8665695404,-62.4962837203505
"37","V2LNSSA-04D-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"38","V2LNSSA-05A-2019-05-07","Sheet Harbour",2864,2019-05-10 01:07:04,2019-06-22 04:29:47,44.9202516530958,-62.5386218284875
"39","V2LNSSA-05A-2019-05-07","Sheet Harbour passage",10,2019-05-10 00:34:39,2019-05-10 00:51:36,44.8665695404,-62.4962837203505
"40","V2LNSSA-05A-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"41","V2LNSSA-05B-2019-05-07","Sheet Harbour",2659,2019-05-13 00:14:57,2019-05-22 20:00:55,44.9202516530958,-62.5386218284875
"42","V2LNSSA-05B-2019-05-07","Sheet Harbour estuary",2366,2019-05-23 00:38:06,2019-06-08 00:56:18,44.8958021924533,-62.4850195539726
"43","V2LNSSA-05B-2019-05-07","Sheet Harbour passage",60,2019-05-12 19:14:17,2019-06-09 00:05:31,44.8665695404,-62.4962837203505
"44","V2LNSSA-05B-2019-05-07","West River upper",2,2019-05-07 09:36:00,2019-05-07 09:36:00,44.9585454198472,-62.6177866412211
"45","V2LNSSA-05C-2019-05-07","Sheet Harbour",9067,2019-05-08 19:24:27,2019-06-10 19:34:23,44.9202516530958,-62.5386218284875
"46","V2LNSSA-05C-2019-05-07","Sheet Harbour estuary",5392,2019-05-16 07:24:53,2019-06-15 18:47:08,44.8958021924533,-62.4850195539726
