ID,CON,Station,Instrument,Action,Sounding,Latitude,Longitude,EventTime,Cruise,PI,Protocol,Platform
209,042,ES_01_CTD5,CTD,Bottom,109.67,44.768272,-61.939385,"Sat, 30 Jun 2018 14:11:57 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
216,044,ES_01_CTD4,CTD,Bottom,81.37,44.802058,-61.956968,"Sat, 30 Jun 2018 15:28:37 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
227,047,ES_01_CTD3,CTD,Bottom,62.56,44.83684,-61.974938,"Sat, 30 Jun 2018 16:42:39 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
234,049,ES_01_CTD2,CTD,Bottom,53.73,44.868728,-61.991877,"Sat, 30 Jun 2018 17:51:35 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
241,051,ES_01_CTD1,CTD,Bottom,41.1,44.902938,-62.007468,"Sat, 30 Jun 2018 19:05:20 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
266,057,ES_03_CTD6,CTD,Bottom,130.71,44.623112,-62.360498,"Sun, 01 Jul 2018 15:18:34 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
276,060,ES_03_CTD5,CTD,Bottom,105.1,44.653783,-62.386773,"Sun, 01 Jul 2018 16:43:07 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
280,061,ES_03_CTD4,CTD,Bottom,81.78,44.684027,-62.414025,"Sun, 01 Jul 2018 17:39:50 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
288,063,ES_03_CTD3,CTD,Bottom,63.31,44.71495,-62.440205,"Sun, 01 Jul 2018 18:31:06 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
295,065,ES_03_CTD2,CTD,Bottom,51.33,44.745537,-62.466317,"Sun, 01 Jul 2018 19:14:56 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
302,067,ES_03_CTD1,CTD,Bottom,38.25,44.775865,-62.493388,"Sun, 01 Jul 2018 20:01:13 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
315,070,ES_04_CTD6,CTD,Bottom,119.04,44.56876,-62.508733,"Mon, 02 Jul 2018 15:14:29 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
322,072,ES_04_CTD5,CTD,Bottom,101.56,44.59777,-62.539085,"Mon, 02 Jul 2018 16:16:19 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
329,074,ES_04_CTD4,CTD,Bottom,84.51,44.626787,-62.568793,"Mon, 02 Jul 2018 17:07:36 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
337,076,ES_04_CTD3,CTD,Bottom,69.66,44.655653,-62.598938,"Mon, 02 Jul 2018 18:13:16 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
344,078,ES_04_CTD2,CTD,Bottom,39.15,44.68441,-62.628637,"Mon, 02 Jul 2018 19:04:25 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
351,080,ES_04_CTD1,CTD,Bottom,36.23,44.713753,-62.658262,"Mon, 02 Jul 2018 19:53:21 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
370,084,ES_02_CTD5,CTD,Bottom,118.36,44.709883,-62.14969,"Tue, 03 Jul 2018 19:12:53 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
378,086,ES_02_CTD4,CTD,Bottom,107.12,44.743455,-62.170608,"Tue, 03 Jul 2018 20:04:26 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
385,088,ES_02_CTD3,CTD,Bottom,75.58,44.775913,-62.190273,"Tue, 03 Jul 2018 21:02:31 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
392,090,ES_02_CTD2,CTD,Bottom,53.49,44.808833,-62.21016,"Tue, 03 Jul 2018 22:01:27 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
399,092,ES_02_CTD1,CTD,Bottom,44.81,44.837245,-62.233112,"Tue, 03 Jul 2018 23:01:49 +0000",HUD2018021,Lindsay Beazley,OESD,CCG Hudson
