Source File: C:\Users\Ed\Documents\Vemco\LoggerVUE\Minilog-II-T_357516_20190930_1.vld
Source Device: Minilog-II-T-357516
Study Description: 2019 Eastern Shore Islands study Ryan
Minilog Initialized: 2019-04-17 10:48:42 (UTC+1)
Study Start Time: 2019-04-18 01:00:00
Study Stop Time: 2019-09-30 14:31:58
Sample Interval: 00:05:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-04-18,01:00:00,20.57
2019-04-18,01:05:00,20.57
2019-04-18,01:10:00,20.57
2019-04-18,01:15:00,20.57
2019-04-18,01:20:00,20.57
2019-04-18,01:25:00,20.57
2019-04-18,01:30:00,20.56
2019-04-18,01:35:00,20.56
2019-04-18,01:40:00,20.55
2019-04-18,01:45:00,20.55
2019-04-18,01:50:00,20.54
2019-04-18,01:55:00,20.53
2019-04-18,02:00:00,20.53
2019-04-18,02:05:00,20.52
2019-04-18,02:10:00,20.51
2019-04-18,02:15:00,20.51
2019-04-18,02:20:00,20.50
2019-04-18,02:25:00,20.50
2019-04-18,02:30:00,20.50
2019-04-18,02:35:00,20.50
2019-04-18,02:40:00,20.49
2019-04-18,02:45:00,20.49
2019-04-18,02:50:00,20.49
2019-04-18,02:55:00,20.49
2019-04-18,03:00:00,20.48
2019-04-18,03:05:00,20.48
2019-04-18,03:10:00,20.47
2019-04-18,03:15:00,20.47
2019-04-18,03:20:00,20.46
2019-04-18,03:25:00,20.46
2019-04-18,03:30:00,20.45
2019-04-18,03:35:00,20.44
2019-04-18,03:40:00,20.43
2019-04-18,03:45:00,20.43
2019-04-18,03:50:00,20.42
2019-04-18,03:55:00,20.41
2019-04-18,04:00:00,20.40
2019-04-18,04:05:00,20.39
2019-04-18,04:10:00,20.38
2019-04-18,04:15:00,20.37
2019-04-18,04:20:00,20.37
2019-04-18,04:25:00,20.36
2019-04-18,04:30:00,20.35
2019-04-18,04:35:00,20.34
2019-04-18,04:40:00,20.33
2019-04-18,04:45:00,20.32
2019-04-18,04:50:00,20.31
2019-04-18,04:55:00,20.31
2019-04-18,05:00:00,20.30
2019-04-18,05:05:00,20.29
2019-04-18,05:10:00,20.28
2019-04-18,05:15:00,20.27
2019-04-18,05:20:00,20.26
2019-04-18,05:25:00,20.26
2019-04-18,05:30:00,20.25
2019-04-18,05:35:00,20.24
2019-04-18,05:40:00,20.23
2019-04-18,05:45:00,20.22
2019-04-18,05:50:00,20.22
2019-04-18,05:55:00,20.21
2019-04-18,06:00:00,20.21
2019-04-18,06:05:00,20.21
2019-04-18,06:10:00,20.22
2019-04-18,06:15:00,20.22
2019-04-18,06:20:00,20.22
2019-04-18,06:25:00,20.22
2019-04-18,06:30:00,20.22
2019-04-18,06:35:00,20.22
2019-04-18,06:40:00,20.21
2019-04-18,06:45:00,20.21
2019-04-18,06:50:00,20.20
2019-04-18,06:55:00,20.20
2019-04-18,07:00:00,20.19
2019-04-18,07:05:00,20.18
2019-04-18,07:10:00,20.17
2019-04-18,07:15:00,20.17
2019-04-18,07:20:00,20.16
2019-04-18,07:25:00,20.16
2019-04-18,07:30:00,20.15
2019-04-18,07:35:00,20.14
2019-04-18,07:40:00,20.13
2019-04-18,07:45:00,20.13
2019-04-18,07:50:00,20.13
2019-04-18,07:55:00,20.12
2019-04-18,08:00:00,20.11
