device,start,stop
Minilog-II-T-353404,2019-05-03 18:34:27.247 ,2019-10-19 22:06:01.9838
Minilog-II-T-356755,2019-05-11 02:22:02.5482,2019-09-29 20:03:42.9242
Minilog-II-T-356761,2019-05-03 18:57:48.3243 ,2019-09-30 00:47:32.5348
Minilog-II-T-356771,2019-05-31 23:12:53.5317,2019-10-21 07:00:02.1031
Minilog-II-T-356779,2019-05-03 22:41:54.189,2019-09-25 05:00:30.7303
Minilog-II-T-357146,2019-05-11 04:14:25.4558 ,2019-10-20 01:20:51.1701
Minilog-II-T-357148,2017-05-01 21:39:18.6317 ,2018-04-15 12:31:48.6317
Minilog-II-T-357150,2019-05-04 06:28:41.5874,2019-10-22 02:39:37.9783
Minilog-II-T-357509,2019-05-11 06:06:05.0294 ,2019-09-25 07:46:30.9693
Minilog-II-T-357516,2019-05-18 02:23:54.2024 ,2019-09-19 21:05:04.1272
