Date,Site,Season,Set Number,Species,SpeciesName,FunctionalGroup,Total_Length (mm),SampleTube,Photo #,DevelopmentStage,Comments
17-May-23,Taylor Head,Spring,1,Juvenile gadid,Gadidae,BonyFish,30,NA,,Juvenile,Probably Tomcod 
17-May-23,Taylor Head,Spring,1,Periwinkle,Littorina sp.,Molluscs,NA,NA,,Unknown,
17-May-23,Taylor Head,Spring,1,Juvenile gadid,Gadidae,BonyFish,30,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile gadid,Gadidae,BonyFish,35,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile gadid,Gadidae,BonyFish,38,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile gadid,Gadidae,BonyFish,42,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,20,NA,,Juvenile,All unidentified sculpins are likely the genus Myoxocephalus
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,21,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,23,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,26,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,American Eel,Anguilla rostrata,BonyFish,50,NA,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Spring\TaylorHead\IMG_0866.JPG,Juvenile,"Glass eel stage, very wiggly"
17-May-23,Taylor Head,Spring,1,Atlantic Silverside,Menidia menidia,BonyFish,85,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,20,NA,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Spring\TaylorHead\IMG_0869.JPG,Juvenile,
17-May-23,Taylor Head,Spring,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,82,NA,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Spring\TaylorHead\IMG_0868.JPG,Juvenile,
17-May-23,Taylor Head,Spring,1,Gunnel ,Pholis sp.,BonyFish,120,NA,,Unknown,
17-May-23,Taylor Head,Spring,1,Gunnel ,Pholis sp.,BonyFish,100,NA,,Unknown,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,20,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Juvenile Sculpin,Cottoidei,BonyFish,20,NA,,Juvenile,
17-May-23,Taylor Head,Spring,1,Crustaceans,Malacostraca,Crustaceans,NA,NA,,Unknown,"Variety of amphipods, isopods, mysids and sand shrimp in the haul "
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,20,NA,,Juvenile,"Seine 2 - lots of gadids, better haul"
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,25,NA,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,25,TH1,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,25,TH2,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,25,TH3,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile Sculpin,Cottoidei,BonyFish,25,TH4,,Juvenile,
17-May-23,Taylor Head,Spring,2,Gunnel ,Pholis sp.,BonyFish,110,TH5,,Unknown,
17-May-23,Taylor Head,Spring,2,Gunnel ,Pholis sp.,BonyFish,100,TH6,,Unknown,
17-May-23,Taylor Head,Spring,2,Gunnel ,Pholis sp.,BonyFish,130,TH7,,Unknown,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,45,TH8,,Juvenile,All juvenile gadids probably tomcod 
