index,family,genus,scientific_name,common_name,type,count,coast
eDNA_taxon01,Hemitripteridae,Hemitripterus,Hemitripterus americanus,sea raven,12s,3292,east
eDNA_taxon02,Anguillidae,Anguilla,Anguilla rostrata,American eel,12s,73932,east
eDNA_taxon03,Atherinopsidae,Menidia,Menidia menidia,Atlantic silverside,12s,93690,east
eDNA_taxon04,Chaetodontidae,Chaetodon,Chaetodon ocellatus,spotfin butterflyfish,12s,419,east
eDNA_taxon05,Clupeidae,Alosa,Alosa aestivalis,blueback shad,12s,419,east
eDNA_taxon06,Clupeidae,Alosa,Alosa pseudoharengus,alewife,12s,22201,east
eDNA_taxon07,Clupeidae,Clupea,Clupea harengus,Atlantic herring,12s,96248,east
eDNA_taxon08,Cottidae,Gymnocanthus,Gymnocanthus tricuspis,arctic staghorn sculpin,12s,329,east
eDNA_taxon09,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus,longhorn sculpin,12s,880,east
eDNA_taxon10,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,Giant wrymouth,12s,8210,east
eDNA_taxon11,Fundulidae,Fundulus,Fundulus heteroclitus,mummichog,12s,72624,east
eDNA_taxon12,Gadidae,Microgadus,Microgadus tomcod,Atlantic tomcod,12s,145460,east
eDNA_taxon13,Gadidae,Pollachius,Pollachius virens,saithe,12s,10288,east
eDNA_taxon14,Gasterosteidae,Apeltes,Apeltes quadracus,fourspine stickleback,12s,27040,east
eDNA_taxon15,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,three-spined stickleback,12s,152405,east
eDNA_taxon16,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,blackspotted stickleback,12s,2273,east
eDNA_taxon17,Labridae,Tautogolabrus,Tautogolabrus adspersus,cunner,12s,197789,east
eDNA_taxon18,Merlucciidae,Merluccius,Merluccius bilinearis,silver hake,12s,1214,east
eDNA_taxon19,Moronidae,Morone,Morone saxatilis,striped bass,12s,456,east
eDNA_taxon20,Pholidae,Pholis,Pholis gunnellus,rock gunnel,12s,670,east
eDNA_taxon21,Phycidae,Urophycis,Urophycis chuss,red hake,12s,2848,east
eDNA_taxon22,Phycidae,Urophycis,Urophycis tenuis,white hake,12s,27029,east
eDNA_taxon23,Scombridae,Scomber,Scomber scombrus,Atlantic mackerel,12s,73664,east
eDNA_taxon24,Scophthalmidae,Scophthalmus,Scophthalmus aquosus,Windowpane flounder ,12s,2403,east
eDNA_taxon25,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,snakeblenny,12s,1073,east
eDNA_taxon26,Syngnathidae,Syngnathus,Syngnathus fuscus,northern pipefish,12s,10109,east
eDNA_taxon27,Ammodytidae,Ammodytes,Ammodytes americanus,American sand lance,12s,375,east
eDNA_taxon28,Ammodytidae,Ammodytes,Ammodytes dubius,northern sand lance,12s,190,east
eDNA_taxon29,Ammodytidae,Ammodytes,Ammodytes tobianus,small sandeel,12s,86764,east
