method,latin,common,location
eDNA,Alopias vulpinus,Thresher Shark,Offshore
eDNA,Alosa,Shads and Alewife,Coastal and offshore
eDNA,Ammodytes,Sand lance,Coastal and offshore
eDNA,Ameiurus nebulosus,Brown bullhead,Sheet Harbour Estuary
eDNA,Anguilla rostrata,American Eel,Coastal
eDNA,Anarhichas denticulatus,Northern Wolffish,Offshore
eDNA,Anarhichas lupus,Atlantic Wolffish,Coastal and offshore
eDNA,Apeltes quadracus,Fourspine Stickleback,Coastal and offshore
eDNA,Argentina silus,Atlantic Argentine,Offshore
eDNA,Auxis rochei,Bullet Tuna,Coastal
eDNA,Balistes capriscus,Grey Triggerfish,Coastal and offshore
eDNA,Caranx hippos,Crevalle Jack,Coastal and offshore
eDNA,Catostomus commersonii,White Sucker,Sheet Harbour Estuary
eDNA,Cetorhinus maximus,Basking Shark,Offshore
eDNA,Chaetodon ocellatus,Spotfin Butterflyfish,Coastal
eDNA,Clupea harengus,Atlantic Herring,Coastal and offshore
eDNA,Cryptacanthodes maculatus,Wrymouth,Coastal and offshore
eDNA,Dipturus batis,Blue Skate,Offshore
eDNA,Eumesogrammus praecisus,Fourline Snakeblenny,Coastal and offshore
eDNA,Fundulus hetroclitus,Mummichog,Coastal
eDNA,Gadus morhua,Atlantic Cod,Coastal and offshore
eDNA,Gasterosteus aculeatus,Three-spined Stickleback,Coastal
eDNA,Gasterosteus wheatlandi,Blackspotted Stickleback,Coastal
eDNA,Glyptocephalus cynoglossus,Witch Flounder,Offshore
eDNA,Hemitripterus americanus,Sea Raven,Coastal and offshore
eDNA,Hippoglossus hippoglossus,Atlantic Halibut,Coastal and offshore
eDNA,Lamna nasus,Porbeagle,Offshore
eDNA,Leptoclinus maculatus,Daubed Shanny,Offshore
eDNA,Liparis,Snailfish,Coastal and offshore
eDNA,Lophius americanus,Goosefish,Offshore
eDNA,Lumpenus fabricii,Slender eelblenny,Offshore
eDNA,Lumpenus lampretaeformis,Snakeblenny,Coastal and offshore
eDNA,Lycodes vahlii,Vahl’s Eelpout,Offshore
eDNA,Malacoraja spinacidermis,Soft Skate,Offshore
eDNA,Melanogrammus aeglefinus,Haddock,Offshore
eDNA,Menidia menidia,Atlantic Silverside,Coastal and offshore
eDNA,Merluccius bilinearis,Silver Hake,Coastal and offshore
eDNA,Microgadus tomcod,Atlantic Tomcod,Coastal and offshore
eDNA,Myoxocephalus octodecemspinosus,Longhorn Sculpin,Coastal and offshore
eDNA,Myoxocephalus scorpius,Shorthorn Sculpin,Coastal and offshore
eDNA,Notemigonus crysoleucas,Golden Shiner,Offshore
eDNA,Osmerus mordax,Rainbow Smelt,Coastal and offshore
eDNA,Peprilus triacanthus,American Butterfish,Coastal and offshore
eDNA,Perca flavescens,Yellow Perch,Coastal
eDNA,Pholis gunnellus,Rock Gunnel,Coastal and offshore
eDNA,Pollachius virens,Pollock,Coastal and offshore
eDNA,Prionace glauca,Blue Shark,Offshore
eDNA,Pseudopleuronectes americanus,Winter Flounder,Coastal and offshore
eDNA,Salmo salar,Atlantic Salmon,Offshore
eDNA,Salvelinus fontinalis,Brook Trout,Offshore
eDNA,Scomber scombrus,Atlantic Mackerel,Coastal and offshore
eDNA,Scomberesox saurus,Atlantic Saury,Offshore
eDNA,Scophthalmus aquosus,Windowpane Flounder,Coastal
eDNA,Sebastes mentella*,Deepwater Redfish,Offshore
eDNA,Selene setapinnis,Atlantic Moonfish,Offshore
eDNA,Squalus acanthias,Spiny Dogfish,Offshore
